CodeId	Abbreviation
1395	s-ferrit
1396	gj-fsa
1397	p-fxiii-o
1399	p-fibr
1400	p-fibr-o
1401	s-fdp
1402	u-fdp
1403	s-fdp-o
1404	u-fdp-o
1405	p-filysa
1406	p-filysae
1407	li-fibrone
1408	s-fibrone
1409	b-filar-o
1411	s-f
1412	u-f
1413	fb-folaat
1414	fe-folaat
1415	fp-folaat
1416	fs-folaat
1417	li-folaat
1418	u-folaat
1419	s-fsh-rh
1420	ts-fsh-rh
1421	du-fsh
1422	s-fsh
1423	pt-fkg-1
1424	pt-fkg-2
1425	pt-fkg-ik
1426	du-figlu
1428	am-pgly
1429	du-pi
1430	df-pi
1431	fp-pi
1432	fs-pi
1433	u-pi
1435	e-pfk
1436	e-pgd
1437	e-pgk
1438	e-pgm
1439	e-gpi
1440	fs-foslip
1441	sp-frukt
1442	pt-frukt-r
1443	e-galput
1444	b-gal
1445	s-gal
1447	pt-gal-r3
1448	fs-gastr
1449	p-gip
1450	s-gen
1452	-giarna
1453	f-giarvr
1454	s-agaab
1455	s-aga-o
1456	s-gbmab
1457	pt-glkg-r1
1458	fs-glkg
1459	af-gluk
1460	am-gluk
1461	as-gluk
1462	b-gluk
1463	cu-gluk
1464	di-gluk
1465	du-gluk
1466	f-gluk
1467	fb-gluk
1468	fp-gluk
1469	fs-gluk
1470	li-gluk
1471	p-gluk
1472	pf-gluk
1473	s-gluk
1474	sy-gluk
1475	u-gluk
1478	f-gluk-o
1479	u-gluk-o
1480	b-g6pd
1481	e-g6pd
1482	li-g6pd
1483	pt-gluk-r1
1484	pt-gluk-r2
1485	pt-gluk-r3
1487	b-gluk24h
1488	s-gd
1489	s-gt
1490	e-gsh
1491	e-gsh-st
1492	e-gshr
1494	e-glykog
1495	fs-glykkol
1496	du-gag
1497	u-gag
1498	u-gag-o
1499	s-gag-ab
1500	s-glysero
1501	du-gly
1502	fp-gly
1503	u-gly
1504	u-gly-o
1505	s-gcab
1506	-gcvi
1507	-gcvr
1508	s-gda
1509	p-fxii
1510	p-pp
1511	pt-haima-1
1512	pt-haima-2
1514	s-hfos
1515	sp-hfos
1516	sy-hfos
1517	s-hfos-is
1518	bm-pfos
1519	s-pfos
1520	sp-pfos
1521	s-hfos-ti
1522	l-hfot-vr
1523	bm-hfos-vr
1524	l-hfos-vr
1525	gj-hapot
1526	u-hapot
1527	ab-ph
1528	cb-ph
1529	gj-ph
1530	u-ph
1531	vb-ph
1532	zb-ph
1533	ab-hbo2sat
1534	cb-hbo2sat
1535	ab-po2
1536	cb-po2
1537	vb-po2
1538	zb-po2
1539	ab-o2-sis
1540	cb-o2-sis
1541	ab-he-tase
1542	cb-he-tase
1543	vb-he-tase
1544	zb-he-tase
1545	s-haptog
1546	e-heinz
1547	e-hk
1549	e-hemis
1551	af-hb
1552	b-hb
1553	li-hb
1554	p-hb
1555	u-hb
1556	u-hb-o
1557	e-mchc
1558	e-mch
1559	b-hb-a1
1560	b-hb-a1c
1561	b-hb-a2
1562	b-hb-f
1563	b-hb-f-vr
1564	b-hb-fr
1565	b-hbo2dis
1566	b-hb-co
1567	pt-hb
1568	b-hb-hs
1570	s-hpx
1571	s-hpx-o
1572	u-hemsi-o
1573	pt-hs-co2
1576	pt-po2-ex
1577	pt-pco2-ex
1578	pt-pn2-ex
1579	pt-po2-alv
1581	pt-po2-a-a
1582	pt-valv
1584	pt-vo2
1586	pt-vco2
1588	pt-hekaasv
1590	pt-vdfys
1592	pt-shuntrl
1593	pt-mv
1595	pt-pav
1596	pt-tv
1598	pt-tav
1599	pt-hepar-r
1601	s-havabg
1602	s-havabm
1604	s-hbeag
1605	s-hbsag
1606	s-hbcab
1607	s-hbeab
1608	s-hbsab
1609	pt-baep
1611	pt-baep-et
1612	pt-sep
1613	pt-vep-k
1614	-hsvag
1615	s-hsvab
1616	-hsvvi
1618	di-co2
1619	dj-co2
1620	p-co2
1621	ab-pco2
1622	cb-pco2
1623	vb-pco2
1624	zb-pco2
1625	g-co
1626	s-candag
1627	s-candab
1628	-candvi
1629	u-hippur
1630	pt-histi-r
1631	s-homeab
1632	du-homog
1633	u-homog-o
1634	du-hva
1635	du-ag
1636	s-ag
1637	du-5hiaa
1638	u-5hiaa-o
1639	s-hbd
1640	s-ohkloro
1641	du-17ohcs
1642	s-17ohcs
1643	du-17hprog
1644	s-17hprog
1645	du-hop
1646	s-hop
1647	du-hop-v
1648	p-5-ht
1649	-hygvi
1650	b-hyytai
1657	s-ihotab
1658	s-ihovab
1660	s-imipr
1661	u-imipr-o
1662	b-imblast
1663	li-imblast
1664	du-iga
1665	li-iga
1666	s-iga
1667	u-iga
1668	du-igd
1669	li-igd
1670	s-igd
1671	u-igd
1672	li-ige
1673	s-ige
1674	du-igg
1675	li-igg
1676	s-igg
1677	u-igg
1678	du-iggfc
1679	u-iggfc
1680	u-iggfc-o
1681	du-iglc
1682	s-iglc
1683	u-iglc
1686	du-igm
1687	li-igm
1688	s-igm
1689	u-igm
1690	pt-ikg
1694	du-indik
1695	u-indik
1696	pt-icg-r
1700	fp-insu
1701	s-insu
1702	s-insu-ab
1703	pt-insu-r
1704	gj-if
1705	s-ifbi-ab
1706	s-ifbl-ab
1707	e-inulhem
1708	pt-inul-cl
1710	ts-isomalt
1711	s-icd
1712	s-b2gpaba
1713	s-b2gpabg
1714	s-b2gpabm
1715	-cmvnh
1716	s-dengabm
1717	s-echoab
1718	f-elast1
1719	s-elast1
1720	-hbvnh
1721	s-hcvnh
1722	s-ige-pse
1723	-gcnho
1724	s-ldloabg
1725	b-pnhfc
1726	s-apfab
1727	s-fiiabg
1728	s-rubeavi
1729	fl-strbvi
1730	-toxonho
1731	p-tt
1732	pt-aktig
1733	u-anilin
1734	u-as-i
1735	u-be
1736	u-baa
1737	s-chtrab
1738	-ctgcnho
1739	ts-dnalink
1740	ts-dystr-d
1741	u-eaa
1742	u-2-epa
1743	u-etu
1744	u-2-eha
1745	ts-ews-mr
1746	u-cpa
1747	u-pba
1748	ts-vgh-d
1749	-hcvabct
1750	pt-mwt
1751	s-homeabg
1752	-hhv6nho
1753	s-hivavi
1754	-hivabct
1755	u-mbc
1756	fp-cl-or
1757	ts-chm-d
1758	ts-cftr-d
1759	b-ldlre
1760	s-mn
1761	u-mapga
1762	u-2-mbt
1763	u-maa
1764	u-2-mpa
1765	u-moca
1766	u-mda
1767	u-mek
1768	u-mmf
1769	u-mukon
1770	b-ni
1771	u-oksal
1772	s-paroabg
1773	s-pct
1774	u-progly
1775	s-puumab
1776	u-pyr
1777	u-zn
1778	u-tiosyan
1779	u-triats
1780	u-tea
1781	-vzvnho
1782	u-verben
1783	b-ykrom-d
1784	pt-polamb
1785	pt-polamb1
1786	s-alligg4
1787	u-baktevi
1788	-vrevi
1793	ts-mitoent
1806	s-vzvabm
1808	-acantvi
1809	s-actiab
1810	u-amfetct
1811	am-kel-d
1812	am-rhce-d
1813	s-anisab
1814	p-antipla
1815	am-rhd-d
1816	s-aspeag
1817	f-astrnho
1818	u-barbict
1819	s-bartab
1820	u-bendict
1821	b-borrvr
1822	u-buprect
1823	f-calinho
1824	li-chpnabg
1825	li-chpnabm
1826	-codinho
1827	li-cob5ab
1828	-crneag
1829	li-cystab
1830	s-cystab
1831	s-cmvavi
1832	u-dxproct
1833	u-dxpro-o
1834	li-dengabg
1835	li-dengabm
1836	li-dengab
1837	-dtd-d
1839	li-evirabg
1840	ex-ecp
1841	li-ebvavi
1842	li-ebvabg
1843	li-ebvabm
1844	li-ebvab
1845	f-ehectox
1846	s-fascab
1847	u-fensy-o
1848	u-fensyct
1849	p-fibrag
1850	s-filaab
1851	s-fluvoks
1852	-giarvr
1853	t-gpabg
1854	b-gragty
1855	b-grag-d
1856	gr-grab-o
1857	s-grabty
1858	b-hemok-d
1859	s-hcvnhty
1860	-hsvnho
1861	li-hsv1abg
1862	s-hsv1abg
1863	li-hsv2abg
1864	s-hsv2abg
1865	s-histpab
1866	b-hladrbd
1867	p-hcyst
1868	s-hcyst
1869	li-hhv6nho
1870	li-hhv6ab
1871	s-hhv8abg
1872	u-huuml-o
1873	b-naig
1874	li-infbabg
1875	s-inkoabm
1876	li-inkoab
1877	li-jpeab
1878	s-jpeabm
1879	s-klindam
1880	u-cannact
1881	u-kemseul
1882	s-cldia
1883	-cld-d
1884	u-kokact
1885	s-ttgaba
1886	s-ttgabg
1887	s-kysc
1888	s-lepnag
1889	li-listab
1890	-matolm
1891	u-metad-o
1892	u-metadct
1893	-micrsvr
1894	s-midats
1895	s-mirtats
1896	s-moklob
1897	li-mypnabg
1898	-nphl-d
1899	s-nocaab
1900	s-olants
1901	u-opiaa-o
1902	u-opiaact
1903	s-pcomyab
1904	-pin1ag
1905	li-pin1abg
1906	s-pin1abg
1907	-pin2ag
1908	-pin3ag
1909	li-pin3abg
1910	s-pin3ab
1911	ts-para-o
1912	sk-para-o
1913	s-paroks
1914	s-paroabm
1915	li-paroab
1916	s-parvavi
1917	-piconho
1918	-epmp-d
1919	-epml-d
1920	b-fii-d
1921	li-puumabg
1922	li-puumabm
1923	s-puumabg
1924	li-puumavi
1925	li-tbeabm
1926	li-tbeab
1927	s-pdhab
1928	p-rptaika
1929	li-rsvabg
1930	s-risper
1931	li-rotaabg
1932	s-rotaabg
1933	li-rubeabg
1934	li-rubeab
1935	li-rubeavi
1936	u-schi-o
1937	s-sertral
1938	b-sienvi
1939	s-sindabg
1940	u-solut
1941	u-diffi
1942	s-sporoab
1943	s-stroab
